JobRefNo,DigerPozisyon,Qualifications,Classification
3464074,Debug İçin Oluşturuldu Değiştirme,"<p>Lorem ipsum dolor sit amet consectetur adipiscing elit, suscipit eu bibendum litora orci ante eleifend, quisque congue sapien class quam luctus. Pulvinar magna parturient nulla vestibulum tellus potenti quisque odio, velit massa habitasse molestie leo dictumst dapibus accumsan bibendum, lectus pellentesque natoque ornare felis urna curabitur. Cubilia ultrices faucibus erat velit cursus commodo, pretium risus rutrum fusce quam, porta class per lacus nec. Condimentum elementum velit aenean phasellus sagittis cubilia egestas mus, primis risus malesuada semper a hac vivamus. Magna habitant duis rutrum taciti penatibus ultricies aliquam sociosqu porta, est dui nullam placerat faucibus ante facilisis in, sollicitudin facilisi pretium sagittis lobortis curae parturient pharetra. Fusce ullamcorper quisque eu eleifend pharetra nullam ac parturient tincidunt, et conubia senectus phasellus per eget fermentum cubilia aptent ornare, dictumst libero magna risus nibh aliquam pellentesque purus. Ac sodales massa posuere risus etiam maecenas parturient tristique feugiat malesuada urna arcu euismod, porttitor dis cubilia pharetra dapibus himenaeos elementum sapien turpis hendrerit vivamus. Eros metus potenti nibh morbi montes dignissim interdum pretium, faucibus vulputate maecenas rutrum dui aptent neque, etiam a urna mi integer nam nostra.</p><p>Aliquam elementum dapibus neque nec purus venenatis aptent lacus, vitae magnis inceptos dis class vestibulum aliquet. Placerat congue condimentum odio fermentum magna litora cubilia, etiam lobortis sollicitudin tempor sagittis habitasse cras tempus, lacus dignissim pharetra non auctor mollis. Himenaeos sollicitudin consequat rhoncus sociosqu tortor dignissim, ridiculus in integer fames mauris parturient vel, lectus at cursus porttitor nulla. Eros malesuada purus accumsan morbi primis ornare pulvinar sapien, non lobortis lacinia suspendisse quis vehicula natoque, auctor congue mus mattis rhoncus quisque est. Pellentesque eleifend nec maecenas imperdiet nunc bibendum fames, felis aenean nostra eu himenaeos convallis, donec euismod nullam posuere enim elementum. Hac tristique sociis luctus dictum fusce facilisi auctor platea laoreet porta, morbi tellus ultricies id rhoncus himenaeos vehicula netus magnis, est cras quisque dignissim integer faucibus vulputate augue erat. Luctus fames vitae facilisis mattis dignissim velit, nullam posuere id molestie libero, pellentesque inceptos facilisi integer urna.</p><p>Molestie cubilia semper nibh fermentum luctus libero integer nisi placerat eros, tempor est sociis lacus viverra vel arcu fames faucibus, gravida nunc penatibus et laoreet suscipit litora tristique feugiat. Vehicula hac mollis condimentum leo platea curae laoreet eget dui, facilisis nunc enim pharetra non ut ultrices lacinia diam tortor, primis proin elementum himenaeos sociosqu donec rhoncus montes. Aliquet fames conubia mattis id nunc porta duis dis, est vel tortor maecenas laoreet arcu fringilla netus lectus, cum lacus euismod urna primis diam vivamus. Litora hac cursus per aptent varius quam mauris augue, habitant erat porta turpis diam massa leo eget conubia, proin imperdiet sodales laoreet tincidunt ante lectus. Nisi ultrices sed penatibus enim tristique, tincidunt varius placerat fames luctus, nunc porta scelerisque cum. Pharetra convallis tempus volutpat donec imperdiet facilisi morbi inceptos, risus massa varius tempor nibh fames torquent mi gravida, curae aptent lacinia fusce habitasse vivamus nostra.</p>",İnşaat
3464020,İnşaat Mühendisi,"<p>Yapı denetim şirketimizde saha mühendisi olarak çalışacak;&nbsp;<br>Proje okumaya hakim,<br>Sahada demir- kalıp teslimi alabilecek,<br>Beton imalatlarında bulunabilecek,<br>Saha ile ilgili imalat sürecinin koordineli bir şekilde yürütebilecek çalışma arkadaşları aramaktayız.</p>",İnşaat
3463986,Harita Mühendisi,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><ul><li>En az 5 yıl deneyimli,&nbsp;</li><li>Saha tecrübesi olan,</li><li>Lisans egitimi veren Üniversitelerin ilgili bölümlerinden mezun,</li><li>İş ve Mühendislik disiplinine &nbsp;uygun olarak çalışmayı prensip&nbsp;edinmiş,</li><li>Proje, keşif, metraj, hakediş, kesin hesap alanlarında tecrübeli</li><li>İyi derecede MS Office, Netcad, AutoCad, kullanabilen,</li><li>Düzenli ve yoğun iş temposuna alışkın, ekip çalışmasına yatkın</li><li>Analitik düşünme yeteneğine sahip ve çözüm odaklı çalışan,</li><li><br></li><li>KAHRAMANMARAŞ, ADIYAMAN, HATAY ve MALATYA illerinde devam eden ve yeni başlayacak olan şantiyelerimizde görevlendirmek üzere mesleki deneyimi olan&nbsp; Harita Mühendisleri ve Harita Teknikerleri alınacaktır.</li></ul>",İnşaat
3463962,İç Mimar,"<p>2004 yılı Kasım ayında faaliyetine başlayan MAYAGÖZ, 2009 yılı Eylül ayından itibaren Eti Mahallesi Celal Bayar Bulvarı Tok Sokak No:7 Maltepe-Çankaya/ANKARA adresinde faaliyetine devam etmektedir.</p><p>5000 m² kapalı alan içerisinde bulunan, 5 özel donanımlı ameliyathanesi, tek ve çift kişilik özel odaları, engelli ve yaşlılara özel imkanları, ücretsiz otoparkı, kafeteryası, bebek bakım odası, çocuk oyun alanı, doğal alan ve mescidi ile sizlerin rahatlığı ve memnuniyetine yönelik imkanlarıyla Türkiye'nin önemli göz sağlığı kurumlarından biri olarak hizmet vermektedir.</p><p>Günlük 500 muayene ve 100 ameliyat kapasitesi ile hafta içi her gün ve Cumartesi günü;</p><ul><li><p>Glokom</p></li><li><p>Katarakt</p></li><li><p>Kornea-Konjonktiva ve Kontak Lens</p></li><li><p>Oküloplasti</p></li><li><p>Refraktif Cerrahi - Excimer Laser</p></li><li><p>Refraktif Cerrahi - Diğer Uygulamalar</p></li><li><p>Retina</p></li><li><p>Şaşılık ve Çocuk Göz Hastalıkları</p></li></ul><p>Tıbbi birimlerinde; Katarakt (fako) ve Excimer Laser uygulamaları başta olmak üzere, glokom, retina dekolmanı, vitroretinal cerrahi, oküloplastik cerrahi, gözyaşı kanal tıkanıklığı, şaşılık ameliyatları vb. konularında uzman ve tecrübeli hekimlerimiz ve personel kadromuzla güvenle hizmet vermekteyiz.</p><p>Kurumumuzda değerlendirmek üzere ""İç Mimar"" aramaktayız.<br>&nbsp;</p><p><strong>Genel Özellikler</strong></p><ul><li>Dinamik, güler yüzlü, hoşgörülü, sabırlı, </li><li>Diksiyonu düzgün,&nbsp; </li><li>İletişim yeteneneği kuvvetli, eğitime ve gelişime açık, </li><li>Analitik düşünen, teknoloji ve yenilikleri takip eden, çözüm odaklı, </li><li>Ekip çalışmasına yatkın , </li><li>Tam zamanlı çalışacak, </li><li>Erkek adayların askerlik hizmeti tamalanmış, </li><li>Ankara'da ikamet eden, </li><li>Tercihen sigara kullanmayan, </li></ul><br><br><h3>İŞ TANIMI</h3><strong>Teknik Özellikler</strong><ul><li>Üniversitelerin İç Mimarlık&nbsp;bölümünden&nbsp;mezun, </li><li>Mesleğinde en az 2 yıl ve hastane&nbsp;projesinde deneyimli (özellikle ince iş), </li><li>Alanındaki programları çok iyi derecede kullanabilen, </li><li>Proje-tasarım çalışmalarını çizebilen, oluşturulan projenin sunumunu sağlayan&nbsp;ve gerekli revizyonlarını yapabilen,</li><li>Mimari ve uygulama projelerinin geliştirilmesi ve çözümlenmesi; Statik, Elektrik,Mekanik projelerinin birbiri ile uyumunun sağlanması gibi süreçleri yönetebilen,</li><li>Projenin uygulanması için gerekli çalışmaların (inşaat, tadilat vb.) yapılmasını koordine eden, süreçlerini ve belirlenen standartları ile uyumunu takip eden,</li><li>Mimari standartlarının sürekliliğinin sağlanıp sağlanmadığını düzenli olarak kontrol eden, gelişim alanlarını, bakım ve onarım ihtiyaçlarını tanımlayan&nbsp;ve düzeltilmesi için gerekli aksiyonları alan,</li></ul>",İnşaat
3463959,Gayrimenkul Danışmanı,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>RE/MAX&nbsp;</p><p>1973 yılında ABD’de kurulan Re/Max, bugün dünya genelinde gayrimenkul sektöründe faaliyet gösteren insana, emeğe, zamana, eğitime değer veren ve tüm dünyada gayrimenkul sektörünün öncüsü konumunda olan uluslararası bir şirkettir.</p><p>RE/MAX TÜRKİYE</p><p>Re/Max; 1997 yılında Türkiye’de kurulan ilk Uluslararası Gayrimenkul Franchise Firması olarak çalışmalarına başlamıştır. Bugün Türkiye’de ve KKTC’de 40 şehirde 220'yi aşkın franchise ofisi ve 5000’i aşkın profesyonel Gayrimenkul Danışmanı ile ülkemizde hızla gelişen Gayrimenkul sektöründe lider öncü firma konumundadır.</p><p>RE/MAX IŞIK</p><p>Ofisimiz 3 yıldır Sancaktepe’de hizmet veren sektörde oldukça deneyime sahip müşteri memnuniyetini ön planda tutan bir şirkettir. 2020 yılının başı itibariyla Re/Max bünyesinde bağımsız bir franchise ofisi olarak hizmet vermeye başladık. Sancaktepe'de bulunan ofisimizde çalışmak üzere Gayrimenkul Danışmanı çalışma arkadaşları aramaktayız.</p><p>GENEL NİTELİKLER VE İŞ TANIMI</p><ul><li>Gayrimenkul alım, satım ve kiralama süreçlerini takip etmek, yönetmek ve sonuçlandırmak</li><li>Etkin bir pazarlama planı uygulayarak çalışma bölgesinde satılık-kiralık portföyler oluşturmak</li><li>Sektördeki güncel gelişmeleri takip edip&nbsp;kendi işinin sahibi olarak hukuki ve mali sorumluluklarını yerine getirmek</li><li>Alıcı - satıcı veri tabanı oluşturmak</li><li>Sektördeki gelişmeleri takip edip güncellemeleri gerçekleştirmek</li><li>Etik değerler üzerinde inşa edilen disiplinli çalışma programı gerçekleştirerek müşteri beklentilerinin doru analizi, hedef kitleye uygun seçeneklerin doğru biçimde ifade edilmesini sağlamak.</li></ul>",İnşaat
3463929,Mimar,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Türkiye’de özel hastaneciliğin öncülerinden Medicana Sağlık Grubu, 30 yılı aşan deneyimi ile yatırımlarını ve geleceğin hizmet standartlarını belirleme yolunda ilerleyişini sürdürüyor.<br></p><p>Pek çok alanda geleceğin sağlık hizmet standardını belirleyen Medicana Sağlık Grubu’na bağlı<strong> Genel Merkez</strong> ekibine&nbsp;katılmak üzere;</p><ul><li>&nbsp; &nbsp; &nbsp;&nbsp;İç mimari konsept ve uygulama projeleri hazırlayabilecek,&nbsp;</li><li>&nbsp; &nbsp; &nbsp; Detay çözümleri üretebilecek ve sistem detayları çizebilecek,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Projeleri sahada uygulatabilecek,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Üniversitelerin mimarlık ve iç mimarlık bölümünden mezun,</li><li>&nbsp; &nbsp; &nbsp; En az 7 yıl ofis tecrübesi bulunan,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Tasarım yönü gelişmiş, ince yapı bilgisi olan, malzeme detay bilgisine sahip,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Çalışkan, dinamik, sorumluluk sahibi ve güçlü iletişim becerisine sahip,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Sorun çözme becerisine sahip,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Proje ve şantiye koordinasyon sürecini yönetecek,</li><li>&nbsp; &nbsp; &nbsp; Birlikte çalıştığı ekibi yönetecek</li><li>&nbsp; &nbsp; &nbsp; Tam zamanlı yoğun iş temposunda çalışabilecek,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Autocad, Office ve ilgili görselleştirme programlarını iyi kullanan,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Seyahat engeli olmayan,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;Eğitim ve askerlikle ilgili ilişkisi olmayan,</li><li>&nbsp; &nbsp; &nbsp;&nbsp;İleri düzey İngilizce bilen,</li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoListParagraphCxSpMiddle""><strong>&nbsp;Mimar / İç Mimar&nbsp;</strong>arıyoruz.&nbsp;</p><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_MsoNormal"">Adayların başvurularını fotoğraflı özgeçmiş ve 15 MB geçmeyen dijital portfolyo ile birlikte e-posta yoluyla yapmaları rica olunur.&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<br></p>",İnşaat
3463926,Saha Mimarı,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_xxxmsonormal"">Hatay Bölgesindeki yer alan Hastane Projemizde İnce İşler Şefi Olarak görevlendirilmek üzere;<strong>&nbsp;</strong>&nbsp;</p><ul type=""disc""><li class=""x_MsoNormal"">Üniversitelerin Mimarlık Bölümlerinden mezun, </li><li class=""x_MsoNormal"">Alanında en az 3 yıl tecrübeli, </li><li class=""x_MsoNormal"">Proje okuma kabiliyeti yüksek, </li><li class=""x_MsoNormal"">İleri seviyede Autocad bilgisine sahip, </li><li class=""x_MsoNormal"">Sahadaki imalat kontrolünü yapabilecek ve yönlendire bilecek,</li><li class=""x_MsoNormal"">Sahadaki yapılan imalat hakkında İnce İşler Şefine raporlama yapa bilecek,</li><li class=""x_MsoNormal"">Erkek adaylar için askerlik görevini yerine getirmiş, </li></ul>",İnşaat
3463925,İnşaat Teknikeri,<p>ANKARA VE İSTANBUL'DA BULUNAN ŞANTİYEMİZDE ÇALIŞMAK&nbsp; ÜZERE EN AZ 5 YIL TECRÜBELİ İNŞAAT TEKNİKERİ ARAMAKTAYIZ</p>,İnşaat
3463924,İnce İşler Şefi,"<p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_xxxmsonormal"">Hatay Bölgesindeki yer alan Hastane Projemizde İnce İşler Şefi Olarak görevlendirilmek üzere;<strong>&nbsp;</strong>&nbsp;</p><ul type=""disc""><li class=""x_x_x_x_x_MsoNormal"">İnşaat Mühendisliği veya Mimarlık Bölümlerinden mezun,</li><li class=""x_x_x_x_x_MsoNormal"">Alanında en az 10 yıl tecrübeli, </li><li class=""x_x_x_x_x_MsoNormal"">Taşeron yönetiminde tecrübeli, </li><li class=""x_x_x_x_x_MsoNormal"">Proje okuma kabiliyeti yüksek, </li><li class=""x_x_x_x_x_MsoNormal"">İleri seviyede Autocad bilgisine sahip, </li><li class=""x_x_x_x_x_MsoNormal"">Sahadaki imalat kontrolünü yapabilecek ve yönlendire bilecek,</li><li class=""x_x_x_x_x_MsoNormal"">Sahadaki yapılan imalat hakkında teknik ofise raporlama yapa bilecek,</li><li class=""x_x_x_x_x_MsoNormal"">Hastane tecrübesi tercih sebebidir. </li></ul><p class=""x_x_x_x_x_x_x_x_x_x_x_x_x_x_x_xxxmsonormal"">Erkek adaylar için askerlik görevini yerine getirmiş<br></p>",İnşaat
3463923,Şantiye Şefi,<p><br></p><p>&nbsp; &nbsp; &nbsp; Sakaryada bulunan şantiyelerimizde “Şantiye Şefi” pozisyonunda görevlendirmek üzere inşaat mühendisi çalışma arkadaşları arıyoruz.</p><p>+ &nbsp; &nbsp;Minimum 5 yıl tecrübeli&nbsp;</p><p>+ &nbsp; &nbsp;Kaba ve ince deneyimi olan</p><p>+ &nbsp; &nbsp;Autocad ve excele hakim</p><p>+ &nbsp; &nbsp;Ehliyeti olup aktif araç kullanabilen</p><p>+ &nbsp; &nbsp;Sözleşme tutanak vb evrak işlerine hakim</p><p>+ &nbsp; &nbsp;Metraj hakediş ve günlük raporlama yapabilecek&nbsp;</p><p>Not: Sakarya ikamet şartı aranmamaktadır. Konaklama işveren tarafından sağlanacaktır.</p>,İnşaat
