JobRefNo,DigerPozisyon,Qualifications,sub-classification
3464032,Chef D Partie,"<p>Beşiktaş, Maçka’nın sevilen mekanlarından Hungry'de Chef de Partie takım arkadaşı arıyoruz.</p><p></p><ul><li>Meslek Yüksek Okullarının ve Üniversitelerin Aşçılık veya Gastronomi ve Mutfak Sanatları bölümlerinden mezun</li><li>Benzer pozisyonda en az 2 yıl deneyimli,&nbsp;</li><li>Hizmet kalitesini her zaman ileri taşımayı hedefleyen,&nbsp;</li><li>İletişimi güçlü,&nbsp;</li><li>Hijyene ve kişisel bakımına dikkat eden,&nbsp;</li><li>Ekip çalışmasına uyumlu,&nbsp;</li><li>Vardiya sisteminde çalışabilecek</li></ul><p></p><p>takım arkadaşı aramaktayız.</p><p><br></p><p>Restoranımız farklı damak zevklerine hitap eden lezzetleri bir arada sunmaktadır.</p><p>İlgilenen adaylar ile görüşmelerimiz yüz yüze yapılacaktır.</p><p></p><p></p>",Aşçılık
3464027,Barista,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>İŞ TANIMI<br></p><ul><li>Misafir ihtiyaçlarını keşfederek, kaliteli ve standartlara uygun ürünler hazırlamak ve sunmak,<br></li><li>Misafirlerimizi güler yüzle karşılayarak mağazadan mutlu ayrılmalarını sağlamak,</li><li>Prosedürlere uygun olarak misafir siparişlerini almak, kasadaki işlemleri doğru ve eksiksiz yapmak,</li><li>Kahveleri demleme tekniklerine ve reçetelerine uygun bir şekilde içime hazırlamak,</li><li>Mutfak Operasyon Standartlarının ve Soğuk Sandviç reçetelerini tam ve doğru uygulanmasını sağlamak,<br></li><li>Kahve makine ve ekipmanlarını kullanmayı bilmek,</li><li>Sorumluluk alanındaki ürünlerin kalite ve SKT takiplerini gerçekleştirmek,</li><li>Ürünlerimiz hakkında detaylı bilgi sahibi olmak ve misafirlerimize tanıtmak,</li><li>Hijyen, sağlık ve güvenlik kurallarına uygun çalışmak.<br><br></li></ul><p>Tercihen Benzer Pozisyonlarda En Az 6 ay Çalışmış, Vardiyalı Çalışma Saatlerine Uyum Sağlayabilen, İletişim Becerileri Güçlü, Planlama ve Organizasyon Yeteneğine Sahip Barista Aramaktayız.</p><p>3. Nesil Kahve Dükkanı, Self Servis olarak Hizmet verilmektedir.</p>",Restoran Hizmetleri
3464026,Barista,"<p><strong>İŞ TANIMI</strong><br></p><ul><li>Misafir ihtiyaçlarını keşfederek, kaliteli ve standartlara uygun ürünler hazırlamak ve sunmak,<br></li><li>Misafirlerimizi güler yüzle karşılayarak mağazadan mutlu ayrılmalarını sağlamak,</li><li>Prosedürlere uygun olarak misafir siparişlerini almak, kasadaki işlemleri doğru ve eksiksiz yapmak,</li><li>Kahveleri demleme tekniklerine ve reçetelerine uygun bir şekilde içime hazırlamak,</li><li>Mutfak Operasyon Standartlarının ve Soğuk Sandviç reçetelerini tam ve doğru uygulanmasını sağlamak,<br></li><li>Kahve makine ve ekipmanlarını kullanmayı bilmek,</li><li>Sorumluluk alanındaki ürünlerin kalite ve SKT takiplerini gerçekleştirmek,</li><li>Ürünlerimiz hakkında detaylı bilgi sahibi olmak ve misafirlerimize tanıtmak,</li><li>Hijyen, sağlık ve güvenlik kurallarına uygun çalışmak.<br><br></li></ul><p>Tercihen Benzer Pozisyonlarda En Az 6 ay Çalışmış, Vardiyalı Çalışma Saatlerine Uyum Sağlayabilen, İletişim Becerileri Güçlü, Planlama ve Organizasyon Yeteneğine Sahip Barista Aramaktayız.</p><p>3. Nesil Kahve Dükkanı, Self Servis olarak Hizmet verilmektedir.<br></p>",Restoran Hizmetleri
3464025,Güzellik Uzmanı,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>Alanında en az 1 yıl tecrübeli,&nbsp;</p><p>Danışan ilişkileri konusunda tecrübeli,&nbsp;</p><p>Güler yüzlü ve çalışma prensibine sahip,</p><p>Lazer Epilasyon, Zayıflama ve Cilt Bakımı konusunda tecrübeli,</p><p>Bağdat Caddesi marmaraya yakın ve Ataköy metrobüs durağına yakın ikamet eden, 2 şubemiz için Güzellik Uzmanı&nbsp;arayışımız bulunmaktadır.</p>",Cilt Bakımı ve Güzellik
3464014,"Temizlik, günlük yemek ve kat hizmetleri görevlisi","<p>Yalova Çiftlikköy'deki dağ evimizde görevlendirilmek üzere, genel temizlikten sorumlu, evin yemeklerini pişirecek, konaklama için odaları hazırlayacak, genel olarak evin tüm işleyişini takip edecek, tam zamanlı, SGK, + prim ile yetiştirilmek üzere eleman aranmaktadır.</p><p>Esnek çalışma saatlerine uyabilen, mümkünse ehliyeti olan, gelişime açık, ilerde otelcilik ve yönetici olarak kariyer yapmak isteyenler önceliklidir. İngilizce bilmeyen ve öğrenmek isteyenlere kurs imkanı sağlanacaktır.&nbsp;</p>",Temizlik Hizmetleri
3464012,Pizza Ustası,"<ul><li>Pizza hazırlamak için gerek olan iş planlamasını yapmak,</li><li>Hijyen kurallarına dikkat etmek ve sağlıklı bir ortam hazırlamak,</li><li>Pizza yapımı için kullanılan pizza harcı, alt peynir ve sos gibi malzemeleri temin etmek,</li><li>Temin ettiği malzemeleri israfa sebebiyet vermeyecek şekilde kullanmak,</li><li>Pizza hamurunu hazır hale getirmek,</li><li>Hamurun uygun ısıda olmasını sağlamak,</li><li>Hamuru istenen porsiyona göre açmak,</li><li>Pişen pizzaları yakmadan ve düzgün bir şekilde fırından çıkarmak,</li><li>Pizzayı dilimlere ayırarak servise hazır hale getirmek,</li><li>Fırının ve kullanmış olduğu diğer malzemelerin temizliği ile bakımlarını yapmak,</li><li>Mesleği ile alakalı olan gelişmeleri takip etmek.</li></ul>",Aşçılık
3464011,Garson,<p>Lokantamızda çalışmak üzere temiz titiz çalışkan müşteri ile ilişkileri güzel garson aramaktayız. Lokantamiz Kırıkkalenin keskin ilçesinde bulunmaktadır. Merkezden gelecek arkadaşlarımız için yol masrafıni göz önünde bulundurarak maaş vermekteyiz.</p>,Restoran Hizmetleri
3463992,Terzi,"<p>GENEL NİTELİKLER VE İŞ TANIMI</p><p>NG Afyon Otelimizde görev yapacak “Terzi” arayışımız mevcuttur.</p><p>GENEL NİTELİKLER VE İŞ TANIMI<br></p><ul><li>Tercihen Lise Mezunu,</li><li>5 yıldızlı otellerde benzer görevlerde en az 3 yıl çalışmış,</li><li>Üniformaların düzenlenmesi ve numaralandırılması,</li><li>İşe başlayacak personellerin kıyafetlerinin ayrılması,</li><li>Dikiş makinaları teknik detaylarına hâkim,</li><li>Sökük, yırtık olanların kontrol edilmesi ve tamirat işlerini yapacak,</li><li>Ütüleme yapabilecek,</li><li>Yoğun çalışma temposuna ayak uydurabilecek adayların başvurularını bekliyoruz.</li><li>Afyonkarahisar'da ikamet eden veya edebilecek.</li></ul><p></p><p><br></p>",Terzi
3463989,Bulaşıkhane Şef Yardımcısı,"<p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal"">NG Afyon otelimizde&nbsp;&nbsp;""Bulaşıkhane Şef Yardımcısı""&nbsp;olarak görevlendirilmek üzere&nbsp;aşağıda belirtilen niteliklere sahip;</p><p></p><li>En az lise mezunu,</li><li>5 yıldızlı otellerde aynı pozisyonda 3 yıl deneyim sahibi,</li><li>Planlama ve koordinasyon becerilerine sahip,</li><li>Stewarding işleyişini ve ekibini koordine edebilecek,</li><li>Yoğun çalışma temposuna ayak uydurabilecek,</li><li>Erkek adaylarda askerliğini yapmış,</li><li>Afyon'da ikamet eden veya ikamet edebilecek,<p class=""x_x_x_x_x_x_x_x_x_x_MsoNormal""><br></p><p></p></li>",Mutfak Hizmetleri
3463961,Garson,"<p><span><span>2004 yılı Kasım ayında faaliyetine başlayan MAYAGÖZ, 2009 yılı Eylül ayından itibaren Eti Mahallesi Celal Bayar Bulvarı Tok Sokak No:7 Maltepe-Çankaya/ANKARA adresinde faaliyetine devam etmektedir.</span></span><br><span><span>5000 m² kapalı alan içerisinde bulunan, 5 özel donanımlı ameliyathanesi, tek ve çift kişilik özel odaları, engelli ve yaşlılara özel imkanları, ücretsiz otoparkı, kafeteryası, bebek bakım odası, çocuk oyun alanı, doğal alan ve mescidi ile sizlerin rahatlığı ve memnuniyetine yönelik imkanlarıyla Türkiye'nin önemli göz sağlığı kurumlarından biri olarak hizmet vermektedir.</span></span><br><span><span>Günlük 500 muayene ve 100 ameliyat kapasitesi ile hafta içi her gün ve Cumartesi günü;</span></span><br><span>&nbsp;</span></p><ul><li><span><span><span>Glokom</span></span></span></li><li><span><span><span>Katarakt</span></span></span></li><li><span><span><span>Kornea-Konjonktiva ve Kontak Lens</span></span></span></li><li><span><span><span>Oküloplasti</span></span></span></li><li><span><span><span>Refraktif Cerrahi - Excimer Laser</span></span></span></li><li><span><span><span>Refraktif Cerrahi - Diğer Uygulamalar</span></span></span></li><li><span><span><span>Retina</span></span></span></li><li><span><span><span>Şaşılık ve Çocuk Göz Hastalıkları</span></span></span></li></ul><p><span><span><span>Tıbbi birimlerinde; Katarakt (fako) ve Excimer Laser uygulamaları başta olmak üzere, glokom, retina dekolmanı, vitroretinal cerrahi, oküloplastik cerrahi, gözyaşı kanal tıkanıklığı, şaşılık ameliyatları vb. konularında uzman ve tecrübeli hekimlerimiz ve personel kadromuzla güvenle hizmet vermekteyiz.</span></span></span><br><span><span><span>Kurumumuzda değerlendirilmek üzere ""Garson"" aramaktayız.</span></span></span><br></p><p><span><span><span><br></span></span></span></p><p><span><span><span>Genel Özellikler</span></span></span></p><p></p><ul><li><span><span><span>Dinamik, güler yüzlü, hoşgörülü, sabırlı<br></span></span></span></li><li><span><span><span>Diksiyonu düzgün<br></span></span></span></li><li><span><span><span>İletişim yeteneği kuvvetli, eğitime ve gelişime açık<br></span></span></span></li><li><span><span><span>Analitik düşünen, teknoloji ve yenilikleri takip eden, çözüm odaklı<br></span></span></span></li><li><span><span><span>Ekip çalışmasına yatkın&nbsp;<br></span></span></span></li><li><span><span><span>Ankara'da ikamet eden<br></span></span></span></li><li><span><span><span>Tam zamanlı çalışacak<br></span></span></span></li><li><span><span><span>Tercihen sigara kullanmayan<br></span></span></span></li></ul><p><br></p><p>Teknik Özellikler</p><p></p><ul><li>Tercihen üniversitelerin Turizm ve Otel İşletmeciliği veya Turizm Otelcilik Meslek Yüksek Okulu bölümlerinden mezun,<br></li><li>Prezantabl ve diksiyonu düzgün, çözüm odaklı, pozitif ve enerjik,<br></li><li>İnsan ilişkilerinde başarılı, iletişim becerileri ve ikna kabiliyeti yüksek, müşteri odaklı,<br></li><li>Dikkatli, titiz, hızlı ve pratik<br></li><li>Misafir memnuniyeti odaklı çalışan<br></li><li>Organizasyon ve takip yeteneği güçlü,<br></li><li>İçecek ve yiyecek siparişlerini alarak servise hazır hale getirecek ve servis edebilecek,<br></li><li>Vardiyalı sistemde çalışabilecek<br></li></ul><p></p><p></p>",Restoran Hizmetleri
